Date,USDJPY,EURJPY,GBPJPY,NZDJPY,AUDJPY,CHFJPY,CADJPY
2011/6/9,-0.003492566,-0.009197374,-0.005523791,-0.001747026,-0.010417319,-0.001983537,-0.008388266
2011/6/10,0.00500691,-0.001388573,0.00240341,0.008004885,0.003316926,-0.001725941,0.010898882
2011/6/13,0.00062268,-0.011956449,-0.008060633,-0.005299203,-0.007995111,-0.000723016,-0.006269922
2011/6/14,-0.002041237,0.004056909,0.007013467,-0.006723852,0.004620645,0.004383114,0.001842824
2011/6/15,0.004539987,0.006748564,0.004815811,0.007227774,0.013162943,-0.004447455,0.012778453
2011/6/16,0.004221455,-0.013922336,-0.006650633,-0.010998999,-0.007430617,-0.00507562,-0.005893637
2011/6/17,-0.003746217,-0.00284118,-0.006107359,-0.004601979,-0.004912832,0.000959114,-0.006836092
2011/6/20,-0.006217742,0.000402031,-0.005269253,0.000154153,-0.001669202,-0.006981457,-0.00578666
2011/6/21,0.001973188,0.00406259,0.003830013,0.001417488,0.000741758,0.006818498,0.003565739
2011/6/22,-0.000162026,0.003602297,0.000469269,0.002123338,-0.000129355,0.003107041,0.007069535
2011/6/23,0.002019446,-0.002314898,-0.008003944,0.004606219,-0.002071099,0.003622438,0
2011/6/24,0.000709093,-0.002363703,-0.000891373,0.001681201,-0.000872577,0.004425422,-0.002921981
2011/6/27,0.000248595,-0.00675088,-0.003917653,-0.012679295,-0.005547043,0.003926746,-0.011296344
2011/6/28,0.004847117,0.014935277,0.006440896,0.006351559,0.002967007,0.005413674,0.008621375
2011/6/29,0.002844824,0.005772216,0.002886401,0.009827994,0.01093357,0.004459935,0.006450342
2011/6/30,-0.004563431,0.004072296,0.001412029,0.013990237,0.010019466,-0.004705206,0.010831076
2011/7/1,-0.001362917,-0.000171173,-0.003798741,0.000749895,0.000347653,-0.01101345,0.002229367
2011/7/4,0.003473933,0.006332888,0.004795506,0.003326839,0.009267875,-0.004508725,0.008466874
2011/7/5,-0.001817446,-0.001028948,3.84E-05,0.002957328,-0.004476584,-0.001144943,-0.002466559
2011/7/6,0.004174229,-0.004503316,0.002363138,-0.00263592,-0.000887847,0.012030737,0.000832133
2011/7/7,-0.001628173,-0.008123858,-0.005129694,-0.000522539,-0.001188614,-0.000124467,-0.003848497
2011/7/8,0.003607687,0.006129822,0.001898838,0.009292091,0.010791427,-0.002520533,0.010433311
2011/7/11,-0.007140231,-0.018448849,-0.004568582,-0.00414445,-0.011933599,0.002121324,-0.011694422
2011/7/12,-0.004463744,-0.015679,-0.011740842,-0.014194441,-0.011800139,-0.003030052,-0.010388096
2011/7/13,-0.012106115,-0.017330087,-0.0117472,-0.022525384,-0.01701001,-0.007400371,-0.010135087
2011/7/14,-0.005017814,0.013736737,0.011054735,0.033301923,0.012945538,0.020395324,0.005485093
2011/7/15,0.003294501,-0.002047756,0.001841917,-0.005373951,-0.001716604,-0.002055256,8.49E-05
2011/7/18,-0.000846186,-0.003211643,-0.002972915,0.006183446,-0.007879105,0.004221975,0.004400148
2011/7/19,-0.000796279,-0.001700546,-0.004088222,-0.00474331,-0.004261696,-0.008470027,-0.0060584
2011/7/20,0.000961366,0.005379218,0.005854159,0.01582639,0.012875561,-0.007125602,0.010976456
2011/7/21,-0.004701375,0.002184796,-0.003094147,-0.002862201,-0.001765549,-0.003385209,-0.000864728
2011/7/22,-0.002158595,0.007874672,0.007519632,0.002426553,0.004079708,0.004285075,0.000120147
2011/7/25,-0.002595986,-0.004590774,-0.003072724,0,-0.001937632,0.002560131,-0.007872584
2011/7/26,-0.001020592,-0.002164106,-0.002894493,-0.004280458,-0.00095296,0.007411601,0.0011509
2011/7/27,-0.004929783,0.004657547,0.004197427,0.007322903,0.005488105,0.001277702,-0.000871225
2011/7/28,0.000205342,-0.008873742,-0.005820563,-0.000573932,0.007390894,0.000679132,-0.005425807
2011/7/29,-0.002566367,-0.005230864,-0.000267167,-0.003681072,-0.006011208,-0.002509214,-0.003482745
2011/8/1,-0.006651306,-0.004827685,-0.004291952,0.005571551,-0.005216973,0.006350757,-0.011413325
2011/8/2,0.003198969,-0.003660839,-0.00272362,-0.001939919,-0.000105769,0.010777374,0.002101335
2011/8/3,-0.001613736,-0.007864503,-0.003546392,-0.018038668,-0.024754559,0.024183106,-0.009621303
2011/8/4,-0.002883546,0.008884583,0.006689093,0.000824773,0.000361739,-0.009737763,-0.001120986
2011/8/5,0.028244644,0.00794747,0.015372635,-0.015837564,-0.003351013,0.034577168,0.007855424
2011/8/8,-0.013065998,0.003220217,-0.001492232,-0.002481647,-0.017815232,-0.007882097,-0.018681207
2011/8/9,-0.008549071,-0.016604024,-0.014282988,-0.033195911,-0.032373234,0.001450706,-0.01449826
2011/8/10,-0.006895611,0.00742843,-0.0076753,0.021185492,0.01821074,0.036175745,0.00537288
2011/8/11,-0.003776768,-0.02154333,-0.015899044,-0.040579964,-0.02888359,-0.008631995,-0.019086399
2011/8/12,0.001315781,0.00855058,0.008360993,0.026376865,0.022418341,-0.045400386,0.011155805
2011/8/15,-0.00052044,0.002743763,0.003295772,0.006169673,0.003752377,-0.027413413,-0.003848557
2011/8/16,0.000260297,0.011911711,0.00656994,-0.000842554,0.010785052,-0.001253869,0.008358042
2011/8/17,-0.001119183,-0.004019965,0.001731048,-0.001530388,-0.002760496,-0.015485543,-0.002745935
2011/8/18,-0.002696941,-0.000452516,0.003527399,-0.001360619,0.002768138,0.005299727,-0.000307387
2011/8/19,0.001175801,-0.006482535,-0.001216422,-0.012732369,-0.013362221,-0.005135672,-0.009095568
2011/8/22,0.001944257,0.005358394,0.000347967,-0.002966371,0.001974234,0.010187466,0.001292812
2011/8/23,0.000599041,-1.81E-05,-7.91E-06,0.005361685,0.00232559,-0.001783378,0.001162092
2011/8/24,-0.002238611,0.002918764,-0.000498028,0.011362589,0.009635073,-0.006544984,0.000257893
2011/8/25,0.005126493,0.003624311,-0.002657736,-0.001204857,-0.000555777,0.001900804,0.005157311
2011/8/26,0.004957588,0.002215376,-0.000237909,0.004214206,0.002854002,0.007191145,0.004874256
2011/8/29,-0.009724272,-0.001177151,-0.005632239,0.004914244,0.003588233,-0.027001763,-0.002999656
2011/8/30,0.003273258,0.005217816,0.007140048,0.012497089,0.012822106,-0.007648846,0.008770219
2011/8/31,-0.00301565,-0.009379056,-0.009576617,0.001686615,-0.00353014,-0.00611913,-0.005965237
2011/9/1,0.000378183,-0.003794426,-0.002959172,0.001025578,0.001588041,0.016141012,0.001442786
2011/9/2,0.001694226,-0.005985273,-0.002270042,0.000443445,0.004878656,0.016012822,0.00351894
2011/9/5,0.000546435,-0.006805976,-0.000369866,-0.00907899,-0.01043816,0.006319542,-0.01065948
2011/9/6,0,-0.006512704,-0.004519942,-0.01817007,-0.00858576,0.006649045,-0.004058071
2011/9/7,0.009310499,0.004761675,0.00012118,0.005278584,0.007422962,-0.079634464,0.010998749
2011/9/8,-0.004084014,0.002006092,-0.002019549,0.007016737,0.010806803,-0.000954653,0.001441185
2011/9/9,0.002677844,-0.010552145,0.001918399,0.004391704,-0.00125133,-0.015284817,-0.001528209
2011/9/12,-0.000580663,-0.02168201,-0.007780096,-0.019653271,-0.016469279,-0.014538063,-0.009324018
2011/9/13,-0.003653318,5.69E-05,-0.003525705,0.001717841,-0.012530316,0.002175579,0.000811173
2011/9/14,-0.003213281,-0.001223785,-0.007852518,-0.004436791,-0.005874174,-0.001173381,0.004000888
2011/9/15,-0.003314577,0.000949829,-0.004340306,-0.008312673,-0.007564513,0.001003188,-0.007982792
2011/9/16,0.000743365,0.009622319,0.002018339,0.005673201,0.005578223,0.006816396,0.006212904
2011/9/19,0.002293677,-0.009483571,-0.001956454,0.005736353,0.000643896,-0.008302524,0.00531445
2011/9/20,-0.004082733,-0.011358334,-0.008238238,-0.013376656,-0.019139286,-0.011032996,-0.016152703
2011/9/21,-0.001736435,0.004635793,0.002952395,0.002826605,0.007408893,-0.003089989,-0.001505581
2011/9/22,0.000980932,-0.006792703,-0.01337126,-0.025701896,-0.016878192,-0.012270283,-0.011204396
2011/9/23,-0.0030312,-0.01038863,-0.012389397,-0.024075315,-0.032482594,-0.012123052,-0.024555645
2011/9/26,0.003066613,0.007776079,0.011776737,-0.005911924,0.009436554,0.007599843,0.003719489
2011/9/27,-0.002665299,-0.004870727,0.001088099,0.001651094,-0.00345738,-0.000924512,-0.001074127
2011/9/28,0.00618319,0.011291427,0.012132506,0.016398923,0.015078703,0.012350127,0.011559139
2011/9/29,-0.003489194,-0.006910035,-0.007883184,-0.019692173,-0.020113041,-0.008428671,-0.017804996
